"decimalLongitude","decimalLatitude"
76.4212,9.6306
77.065487,10.082108
76.8703,10.4395
77.0606,10.0873
77.0914,10.0738
76.6937,8.7517
77.1598,10.0742
80.1834,12.8697
77.0653,10.082
76.687,11.48
77.622528,12.971104
76.652,11.5601
77.091408,10.073826
77.083,10.2
76.5198,9.5001
77.051,10.0726
76.695,11.41
76.652,11.56
77.259,10.063
77.071,10.0563
76.130705,12.050317
76.549816,11.547125
76.534882,11.543271
76.1461,11.4312
77.159729,10.074333
80.254784,13.05774
76.6948,11.4101
80.2565,12.772964
77.082825,10.198197
76.7089,8.7723
77.156897,10.040021
76.654,11.5543
76.952,8.4874
77.198181,9.508662
76.6781,8.7742
77.124,9.774
76.364096,9.478517
76.485165,12.440819
76.651739,12.513869
77.509945,12.854315
76.271083,10.850516
76.693971,11.414074
79.852788,12.544264
77.4119,8.183286
76.700461,10.10398
76.753496,12.673754
76.64831,11.011296
77.21384,13.37555
76.91016,10.312675
76.9675,10.338319
76.60293,10.332131
76.96139,8.516905
76.68,12.27
76.953735,10.329072
76.70165,8.838937
76.9436,9.42043
77.05967,10.089113
76.652794,10.966599
77.03995,10.143094
76.35584,11.205345
76.98967,10.397607
77.14248,11.995163
76.70197,10.449904
76.82044,10.44578
77.27674,12.308887
76.518845,12.194563
76.059296,11.906994
76.159,10.526653
76.93203,12.826087
79.855545,12.545767
76.7,12.1
76.53193,10.935248
77.61843,13.107861
80.276024,13.012168
76.71765,10.415566
76.45011,12.01851
76.46982,11.110695
76.26661,11.78183
76.4885,10.295879
77.17095,9.425016
76.61253,10.98067
76.66526,10.540978
77.44505,8.668134
76.70195,10.54201
78.21556,10.080481
76.68801,10.129976
76.6288,10.519923
77.37386,13.027572
76.76899,12.817022
76.78333,10.383333
76.89524,10.348778
77.18308,9.58355
76.57844,12.244188
76.61792,11.672074
77.23114,9.190226
76.82002,11.33563
76.65439,10.14619
76.8283,10.279426
76.66519,10.493333
76.754585,10.127357
77.301994,12.311618
76.60131,12.717933
77.61751,12.911294
